title,listed_in,rating,duration,seasons,International TV Shows, TV Dramas, TV Mysteries,Crime TV Shows, International TV Shows, TV Action & Adventure,Docuseries, Reality TV, Romantic TV Shows, TV Comedies,TV Dramas, TV Horror,British TV Shows, Docuseries, Crime TV Shows,TV Comedies, Spanish-Language TV Shows, TV Thrillers,Kids' TV, TV Sci-Fi & Fantasy,Reality TV,Anime Series, Kids' TV, Korean TV Shows, Science & Nature TV, Teen TV Shows,TV Shows,TV Action & Adventure,Stand-Up Comedy & Talk Shows,Classic & Cult TV, Stand-Up Comedy & Talk Shows,Romantic TV Shows,TV Horror,Spanish-Language TV Shows, Classic & Cult TV,TV Sci-Fi & Fantasy,Cluster,PCA1,PCA2,Cluster_Label
I Heart Arlo,"[""Kids' TV"", ' TV Comedies']",7,1 Season,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5055808129653605,3.2544040162246954,Drama-heavy Long Series
King of Boys: The Return of the King,"['Crime TV Shows', ' International TV Shows', ' TV Dramas']",4,1 Season,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.7843558269167142,-1.916954390069706,Family/Kids Shows
Rebellion,"['International TV Shows', ' TV Dramas']",4,2 Seasons,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5312530984619415,-0.3356929078798005,Mixed Genre Epics
RIDE ON TIME,"['Docuseries', ' International TV Shows']",5,3 Seasons,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.6294385068260782,-0.09746166288777323,Family/Kids Shows
Titletown High,"['Reality TV', ' Teen TV Shows']",2,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.2352035203474327,-0.009391509488575155,Family/Kids Shows
EDENS ZERO,"['Anime Series', ' International TV Shows']",2,1 Season,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.3217079523328674,-1.4897817414986598,Family/Kids Shows
Family Reunion,"[""Kids' TV"", ' TV Comedies']",5,4 Seasons,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31039773515437874,2.9763304679184714,Drama-heavy Long Series
Clickbait,"['Crime TV Shows', ' TV Dramas', ' TV Mysteries']",4,1 Season,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.46691652404577655,-1.0809869848581368,Mixed Genre Epics
John of God: The Crimes of a Spiritual Healer,"['Crime TV Shows', ' Docuseries', ' International TV Shows']",4,1 Season,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.465490974978514,-2.2340346713429193,Family/Kids Shows
Motel Makeover,"['International TV Shows', ' Reality TV']",2,1 Season,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1642151657378421,-0.8801760128120796,Short Comedies
